"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kizilcec R.F.; Davis K.; Ochoa X.","Kizilcec, René F. (55657281000); Davis, Katie (7403213861); Ochoa, Xavier (15050959300)","55657281000; 7403213861; 15050959300","L@S 2022 Chairs Welcome","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","III","V","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132161480&partnerID=40&md5=67f2dd3253dbd37fd72e1093b0471a0f","Editorial","Final","","Scopus","2-s2.0-85132161480"
"Håklev S.; Faucon L.; Hadzilacos T.; Dillenbourg P.","Håklev, Stian (35796839400); Faucon, Louis (57194028967); Hadzilacos, Thanasis (6602396756); Dillenbourg, Pierre (8912010400)","35796839400; 57194028967; 6602396756; 8912010400","Orchestration graphs: Enabling rich social pedagogical scenarios in MOOCs","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","261","264","3","12","10.1145/3051457.3054000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018446417&doi=10.1145%2f3051457.3054000&partnerID=40&md5=2c1062f5997ab543c566408ab2c9cfcb","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018446417"
"Williamson K.; Kizilcec R.F.","Williamson, Kimberly (57224642578); Kizilcec, René F. (55657281000)","57224642578; 55657281000","Large-scale Analysis of Discussion Networks in College Courses","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","456","460","4","0","10.1145/3491140.3528321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132176333&doi=10.1145%2f3491140.3528321&partnerID=40&md5=c1261163aaa834c940c7531a1d509714","Conference paper","Final","","Scopus","2-s2.0-85132176333"
"Yen Y.-C.G.; Dow S.P.","Yen, Yu-Chun Grace (15849923300); Dow, Steven P. (7005959715)","15849923300; 7005959715","Seeking Exemplars in the Wild: Exploring How Students Find Design Examples to Support Personalized Learning","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","418","421","3","0","10.1145/3491140.3528303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132162808&doi=10.1145%2f3491140.3528303&partnerID=40&md5=2ea42cbc54c9c1bea392b420594658bd","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132162808"
"Nakai K.; Guo P.J.","Nakai, Kendall (57747666600); Guo, Philip J. (16238467300)","57747666600; 16238467300","Scaling Up Access to the Hidden Curriculum: A Design Methodology for Creating Undergraduate Mentoring Guides","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","413","417","4","0","10.1145/3491140.3528296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132155959&doi=10.1145%2f3491140.3528296&partnerID=40&md5=4474221394e0d05cc572e8d71b60f6ee","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132155959"
"Roy A.; Yee M.; Perdue M.; Stein J.; Bell A.; Carter R.; Miyagawa S.","Roy, Anindya (57672326500); Yee, Michael (23479017000); Perdue, Meghan (57218225588); Stein, Julius (57746675800); Bell, Ana (57215551299); Carter, Ronisha (57748618700); Miyagawa, Shigeru (7201867694)","57672326500; 23479017000; 57218225588; 57746675800; 57215551299; 57748618700; 7201867694","How COVID-19 Affected Computer Science MOOC Learner Behavior and Achievements: A Demographic Study","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","345","349","4","4","10.1145/3491140.3528328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132199178&doi=10.1145%2f3491140.3528328&partnerID=40&md5=46a0862ddb148c10df1eb6c69648b69a","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132199178"
"Joyner D.A.","Joyner, David A. (35183234600)","35183234600","Meet Me in the Middle: Retention in a ""MOOC-Based"" Degree Program","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","82","92","10","5","10.1145/3491140.3528283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132196469&doi=10.1145%2f3491140.3528283&partnerID=40&md5=9957c53e3e6c8627e86dbcba784996c9","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132196469"
"Wang L.; Sy A.; Liu L.; Piech C.","Wang, Lisa (57194036986); Sy, Angela (57194035240); Liu, Larry (57194036370); Piech, Chris (55142243300)","57194036986; 57194035240; 57194036370; 55142243300","Deep knowledge tracing on programming exercises","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","201","204","3","69","10.1145/3051457.3053985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018422818&doi=10.1145%2f3051457.3053985&partnerID=40&md5=0aca95a882db49611a9edabebdbab468","Conference paper","Final","","Scopus","2-s2.0-85018422818"
"Perach S.; Alexandron G.","Perach, Shai (57748640700); Alexandron, Giora (8945106100)","57748640700; 8945106100","A Blended-Learning Program for Implementing a Rigorous Machine-Learning Curriculum in High-Schools","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","267","270","3","2","10.1145/3491140.3528291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132135027&doi=10.1145%2f3491140.3528291&partnerID=40&md5=a88b2a4e8602505cba273fb5961ecc12","Conference paper","Final","","Scopus","2-s2.0-85132135027"
"Leite W.L.; Kuang H.; Shen Z.; Chakraborty N.; Michailidis G.; D'Mello S.; Xing W.","Leite, Walter L. (23393086500); Kuang, Huan (57224527145); Shen, Zuchao (57189242354); Chakraborty, Nilanjana (57486252700); Michailidis, George (6701747952); D'Mello, Sidney (14053463100); Xing, Wanli (55983407600)","23393086500; 57224527145; 57189242354; 57486252700; 6701747952; 14053463100; 55983407600","Heterogeneity of Treatment Effects of a Video Recommendation System for Algebra","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","12","23","11","3","10.1145/3491140.3528275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132134697&doi=10.1145%2f3491140.3528275&partnerID=40&md5=fdb7daefc1f4e0a1d90f8b6602f369ce","Conference paper","Final","","Scopus","2-s2.0-85132134697"
"Zhao S.; Zhang Y.; Xiong X.; Botelho A.; Heffernan N.","Zhao, Siyuan (57194028898); Zhang, Yaqiong (57194041435); Xiong, Xiaolu (57199839343); Botelho, Anthony (56597707600); Heffernan, Neil (14041775100)","57194028898; 57194041435; 57199839343; 56597707600; 14041775100","A memory-Augmented neural model for automated grading","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","189","192","3","40","10.1145/3051457.3053982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018431172&doi=10.1145%2f3051457.3053982&partnerID=40&md5=baa3a30dca894557e2a0996e4deb1e90","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85018431172"
"Agarwal N.; Karkare A.","Agarwal, Nimisha (57214481793); Karkare, Amey (7801322507)","57214481793; 7801322507","LEGenT: Localizing Errors and Generating Testcases for CS1","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","102","112","10","2","10.1145/3491140.3528282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132171562&doi=10.1145%2f3491140.3528282&partnerID=40&md5=69a63a1811b6e056a7fbf349a1006c20","Conference paper","Final","","Scopus","2-s2.0-85132171562"
"Boughoula A.; Geigle C.; Zhai C.X.","Boughoula, Assma (57194033401); Geigle, Chase (55637377400); Zhai, Cheng Xiang (35232046000)","57194033401; 55637377400; 35232046000","A probabilistic approach for discovering difficult course topics using clickstream data","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","303","306","3","2","10.1145/3051457.3054010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018421564&doi=10.1145%2f3051457.3054010&partnerID=40&md5=d7614fcd11801363355184e6f945d536","Conference paper","Final","","Scopus","2-s2.0-85018421564"
